"#","St","MLS® #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","Address","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1501","S","A2111287","Row/Townhouse","Patterson","03/14/2024","$465,000.00","$455,000.00","1,358","33 Patina Point SW","Calgary","1994","14","Murray Scotton","CSCOTTMU","","Justin Negenman","CNEGENJU","","CAL Zone W"
"1501","S","A2109109","Row/Townhouse","Seton","03/15/2024","$449,900.00","$455,000.00","1,264","4145 Seton Drive SE","Calgary","2018","8","Ginny Webster","CWEBSTGI","CWEBSTTI","Gijo Varghese","CVARGHGI","","CAL Zone SE"
"1501","S","A2108920","Row/Townhouse","Skyview Ranch","03/06/2024","$448,000.00","$455,000.00","1,255","646 Skyview Ranch Grove NE","Calgary","2014","14","Peter Pasion","CPASIOPE","CPASIOZO","Robert Lamb","CLAMBRO","","CAL Zone NE"
"1501","S","A2099865","Apartment","Arbour Lake","03/06/2024","$435,000.00","$455,000.00","1,521","303 Arbour Crest Drive NW Unit#2301","Calgary","2001","10","Amanda Ku","CKUAM","CSTUKAAN","Rod Burriss","CBURRIRO1","","CAL Zone NW"
"1501","S","A2115766","Detached","Penbrooke Meadows","03/22/2024","$429,000.00","$453,000.00","826","32 Penrith Place SE","Calgary","1971","2","Katherine Rondeau","CRONDEKA","CGRANTAS","Jasdeep Chahal","CCHAHAJA1","","CAL Zone E"
"1501","S","A2113254","Apartment","Mahogany","03/22/2024","$459,900.00","$453,000.00","1,020","10 Mahogany Mews SE Unit#305","Calgary","2017","15","Austin Fleming","CFLEMIAU","CFLEMIRI","Sasha Raimova","CRAIMOSA","","CAL Zone SE"
"1501","S","A2112563","Row/Townhouse","Saddle Ridge","03/22/2024","$464,000.00","$453,000.00","1,230","10060 46 Street NE Unit#408","Calgary","2023","17","Romi Bagri","CBAGRIRA","","Nikhil Goyal","CGOYALNI","","CAL Zone NE"
"1501","S","A2113091","Semi Detached (Half Duplex)","Pineridge","03/29/2024","$459,999.00","$452,745.00","1,158","119 Pinemill Mews NE","Calgary","1978","21","Shaheen Pireh","CPIREHSH","CHAMZAAL","Alain Alviar","CALVIAAL","","CAL Zone NE"
"1501","S","A2111171","Detached","Erin Woods","03/23/2024","$425,000.00","$452,100.00","1,049","4 Erin Ridge Place SE","Calgary","1981","2","Justin Havre","CHAVREJU","CNICKEHE","Adaylin Simmons","CSIMMOAD","CHAVREJU","CAL Zone E"
"1501","S","A2118358","Row/Townhouse","Cranston","03/30/2024","$421,900.00","$452,000.00","1,268","210 Cranberry Park SE","Calgary","2011","2","Krista Bortoluzzi","CBORTOKR","","Tony Woo","CWOOTO","","CAL Zone SE"
"1501","S","A2110839","Row/Townhouse","Chaparral","03/04/2024","$399,900.00","$451,000.00","1,248","45 Chaparral Ridge Terrace SE","Calgary","1998","4","Crystal Tost","CMYERSCR","","Dave Rose","CROSEDA","","CAL Zone S"
"1501","S","A2118669","Semi Detached (Half Duplex)","Woodlands","03/30/2024","$399,900.00","$450,000.00","1,190","2 Woodhill Road SW","Calgary","1978","1","Eric Drinkwater","CDRINKER","","Rita Babaganov","CBABAGMA","","CAL Zone S"
"1501","S","A2115112","Row/Townhouse","Evanston","03/27/2024","$449,900.00","$450,000.00","1,310","300 Evanscreek Court NW Unit#122","Calgary","2006","12","Raymond Chan","CCHANRA2","","Jing Gao","CGAOJI","","CAL Zone N"
