"#","St","MLS® #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","Address","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1001","S","A2098028","Row/Townhouse","Shawnessy","01/12/2024","$319,900.00","$319,900.00","1,023","200 Shawnessy Drive SW Unit#26","Calgary","1981","9","Hui Zhao","CZHAOHU","","Debbie Miller","CMILLEDE1","","CAL Zone S"
"1001","S","A2099451","Apartment","Albert Park/Radisson Heights","01/26/2024","$299,900.00","$319,000.00","834","1317 27 Street SE Unit#1306","Calgary","2015","19","Lana Wright","CWRIGHLA","","Emmy Chu","CCHUNG","","CAL Zone E"
"1001","S","A2095757","Apartment","Skyview Ranch","01/13/2024","$314,900.00","$318,945.00","887","181 Skyview Ranch Manor NE Unit#1408","Calgary","2017","44","Anni Jansson","CJANSSAN","","Alain Alviar","CALVIAAL","","CAL Zone NE"
"1001","S","A2100134","Apartment","Skyview Ranch","01/19/2024","$318,500.00","$318,500.00","817","302 Skyview Ranch Drive NE Unit#4213","Calgary","2016","13","Elizabeth Wong","CWONGEL4","","Nirwair Singh Bajwa","CBAJWANI","","CAL Zone NE"
"1001","S","A2101619","Apartment","Albert Park/Radisson Heights","01/23/2024","$300,000.00","$318,000.00","800","2715 12 Avenue SE Unit#403","Calgary","2014","7","Trung Bien","CBIENTR1","","Nathan Leech","CLEECHNA","","CAL Zone E"
"1001","S","A2099471","Apartment","Skyview Ranch","01/18/2024","$319,900.00","$318,000.00","927","181 Skyview Ranch Manor NE Unit#4119","Calgary","2017","15","Anni Jansson","CJANSSAN","","Apram Singh","CSINGHAP","","CAL Zone NE"
"1001","S","A2098200","Apartment","Cranston","01/02/2024","$308,000.00","$318,000.00","933","100 Cranfield Common SE Unit#313","Calgary","2013","15","David Strashok","CSTRASDA","","Deesh Sadiaora","CSADIALO","","CAL Zone SE"
"1001","S","A2098127","Apartment","Arbour Lake","01/11/2024","$329,900.00","$318,000.00","882","88 Arbour Lake Road NW Unit#108","Calgary","2008","24","Waj Chawdhry","CCHAWDWA","","Waj Chawdhry","CCHAWDWA","","CAL Zone NW"
"1001","S","A2095191","Apartment","Skyview Ranch","01/17/2024","$325,000.00","$318,000.00","917","181 skyview ranch manor Manor N Unit#3401","Calgary","2017","49","Vijay Bhella","CBHELLVI","","GS Mann","CMANNGU","CDANDYRA","CAL Zone NE"
"1001","S","A2094545","Apartment","Beltline","01/04/2024","$319,900.00","$318,000.00","1,035","1514 11 Street SW Unit#2105","Calgary","1999","43","Dallas Schumaker","CSCHUMDA","CBILYKMA","Natosha Wareham-Bakker","CWAREHNA","","CAL Zone CC"
"1001","S","A2095242","Row/Townhouse","Sage Hill","01/01/2024","$325,000.00","$317,500.00","754","250 Sage Valley Road NW Unit#901","Calgary","2014","36","Kimberley Chan","CCHANKI2","","Prakash Limbu","CLIMBUPR","","CAL Zone N"
"1001","S","A2094239","Apartment","Haysboro","01/08/2024","$339,000.00","$317,500.00","973","8710 Horton Road SW Unit#1118","Calgary","2008","38","Kendall Curle","CCURLEKE","","Paul Dojcinovic","CDOJCIPA","","CAL Zone S"
"1001","S","A2092210","Apartment","Saddle Ridge","01/09/2024","$329,900.00","$317,000.00","969","7110 80 Avenue NE Unit#322","Calgary","2013","63","Ricky Ahuja","CAHUJARA","","Khaled El Rafih","CELRAFKH","","CAL Zone NE"
"1001","S","A2101581","Apartment","Country Hills","01/19/2024","$299,999.00","$315,000.00","930","20 Country Hills View NW Unit#307","Calgary","1999","5","Stephanie Marinus","CMARINST","","Roz Alibhai","CALIBHRO","","CAL Zone N"
"1001","S","A2095832","Apartment","Midnapore","01/13/2024","$322,900.00","$315,000.00","815","15304 Bannister Road SE Unit#308","Calgary","2008","44","Gerry MacDonald","CMACDOGE1","","Erin Reeves","CHUCULER","","CAL Zone S"
"1001","S","A2095461","Apartment","Springbank Hill","01/19/2024","$329,000.00","$315,000.00","619","205 Spring Creek Common SW Unit#312","Calgary","2023","49","Mi Jin Graham","CGRAHAMI","","Mi Jin Graham","CGRAHAMI","","CAL Zone W"
"1001","S","A2094166","Row/Townhouse","Auburn Bay","01/03/2024","$317,000.00","$315,000.00","848","1206 Auburn Bay Square SE","Calgary","2011","46","Darya Pfund","CAPFUNDDA","","Melissa Maynard","CMAYNAME1","","CAL Zone SE"
"1001","S","A2087299","Apartment","Skyview Ranch","01/06/2024","$329,500.00","$315,000.00","893","302 skyview Ranch Drive NE Unit#7115","Calgary","2016","85","Imtiaz Nazir","CNAZIRIM","","Amrit Bedi","CBEDIAM","","CAL Zone NE"
"1001","S","A2098754","Apartment","Copperfield","01/08/2024","$300,000.00","$313,000.00","812","99 Copperstone Park SE Unit#1101","Calgary","2015","3","Uros Markovic","CMARKOUR","","Christian Ortiz Plata","CORTIZCH","CORTIZAL","CAL Zone SE"
"1001","S","A2102277","Apartment","Lower Mount Royal","01/29/2024","$304,900.00","$312,500.00","915","1904 10 Street SW Unit#403","Calgary","1962","11","Lesley Hauville","CHAUVILE","","Dimitrios Tsakalakis","CTSAKADI","","CAL Zone CC"
"1001","S","A2102406","Apartment","Mahogany","01/30/2024","$289,900.00","$312,000.00","633","11 Mahogany Row SE Unit#3208","Calgary","2015","11","Michael Burton","CBURTOMI","","Amanda de Almeida Lima","CDEALMAM","","CAL Zone SE"
"1001","S","A2101335","Apartment","Beltline","01/22/2024","$319,900.00","$312,000.00","502","310 12 Avenue SW Unit#2304","Calgary","2018","7","Akbar Nimji","CNIMJIAK","","Sukh Dhaliwal","CDHALISU1","","CAL Zone CC"
